date,chemtrails,illuminati,new world order,soros,jews,obama,kamala harris,moon landing,coronavirus,new holocaust,stop the steal,communist chinese
2001-09,0,0,6,0,0,0,0,0,0,0,0,0
2002-10,0,0,0,0,0,0,0,0,0,0,0,0
2002-11,5,0,10,0,0,0,0,0,0,0,0,1
2002-12,0,0,0,0,0,0,0,0,0,0,0,0
2003-01,0,0,16,0,0,0,0,0,0,0,0,0
2003-02,0,0,5,0,0,0,0,3,0,0,0,0
2003-03,0,0,14,0,0,0,0,0,0,0,0,0
2003-04,0,0,3,0,0,0,0,0,0,0,0,0
2003-05,0,0,40,0,0,0,0,0,1,0,0,0
2003-06,0,0,9,0,3,0,0,0,0,0,0,1
2003-07,0,0,2,0,0,0,0,0,0,0,0,0
2003-09,0,0,1,0,0,0,0,0,0,0,0,0
2003-10,0,0,1,0,0,0,0,0,0,0,0,0
2003-11,0,0,2,0,0,0,0,0,0,0,0,0
2003-12,0,0,0,0,0,0,0,0,0,0,0,0
2004-01,0,0,2,0,0,0,0,0,0,0,0,0
2004-02,0,0,1,0,0,0,0,0,0,0,0,0
2004-06,0,0,0,0,0,0,0,0,0,0,0,0
2004-08,0,0,0,0,0,0,0,0,0,0,0,0
2004-09,0,0,7,0,0,0,0,0,0,0,0,0
2004-10,2,0,18,0,0,0,0,0,0,0,0,0
2004-11,0,0,0,0,0,0,0,0,0,0,0,0
2004-12,0,0,14,0,0,0,0,0,0,0,0,0
2005-01,0,0,1,0,0,0,0,0,0,0,0,0
2005-04,0,0,3,0,0,0,0,0,0,0,0,0
2005-05,0,0,1,0,0,0,0,0,0,0,0,0
2005-06,0,0,1,0,0,0,0,0,0,0,0,0
2005-09,0,0,0,0,0,0,0,0,0,0,0,0
2005-11,0,0,0,0,0,0,0,0,0,0,0,0
2005-12,0,0,0,0,0,0,0,0,0,0,0,0
2006-03,0,0,0,0,0,0,0,0,0,0,0,0
2006-04,0,0,0,0,0,0,0,0,0,0,0,0
2006-06,0,0,0,0,0,0,0,0,0,0,0,0
2006-10,0,0,0,0,0,0,0,0,0,0,0,0
2006-11,0,0,4,0,0,0,0,0,0,0,0,0
2006-12,0,0,8,0,0,0,0,0,0,0,0,0
2007-01,0,7,63,0,0,1,0,0,0,1,0,0
2007-02,2,2,17,0,1,0,0,0,0,0,0,0
2007-03,4,0,10,0,1,1,0,0,0,0,0,0
2007-04,11,0,42,0,3,1,0,0,0,0,0,0
2007-05,0,0,3,0,0,0,0,0,0,0,0,0
2007-06,0,0,9,0,0,0,0,0,0,0,0,0
2007-07,0,0,0,0,0,0,0,0,0,0,0,0
2007-08,0,0,1,0,0,0,0,0,0,0,0,0
2007-10,0,0,0,0,0,0,0,0,0,0,0,0
2007-11,0,0,3,0,0,0,0,0,0,0,0,0
2007-12,0,0,8,0,0,0,0,0,0,0,0,0
2008-03,3,0,263,0,0,13,0,0,0,0,0,1
2008-04,7,1,608,0,10,17,0,0,0,0,0,2
2008-05,8,8,700,1,9,22,0,3,0,0,0,1
2008-06,30,26,485,0,7,29,0,0,0,0,0,1
2008-07,1,12,362,0,9,79,0,0,0,0,0,2
2008-08,8,14,326,0,2,171,0,1,0,0,0,0
2008-09,21,18,300,3,1,69,0,0,0,0,0,2
2008-10,3,24,479,4,5,218,0,0,0,0,0,0
2008-11,10,4,364,3,10,704,0,0,0,0,0,0
2008-12,10,5,236,0,1,157,0,0,0,0,0,0
2009-01,28,7,357,1,3,415,0,0,0,0,0,0
2009-02,3,1,342,0,1,360,0,0,0,0,0,1
2009-03,12,15,539,3,10,1374,0,0,0,0,0,1
2009-04,83,8,528,31,9,1524,0,1,2,0,0,0
2009-05,27,22,382,1,10,1230,0,1,0,0,0,1
2009-06,19,7,402,13,11,551,0,0,0,0,0,3
2009-07,25,4,385,3,13,610,0,8,0,0,0,2
2009-08,10,6,380,6,3,691,0,2,0,0,0,1
2009-09,11,2,267,8,1,484,0,0,0,0,0,1
2009-10,11,4,249,8,5,213,0,0,0,0,0,0
2009-11,11,5,220,13,10,201,0,3,0,0,0,2
2009-12,24,4,164,22,5,270,0,1,0,0,0,4
2010-01,5,38,158,5,16,402,0,0,0,0,0,0
2010-02,5,6,192,15,3,423,0,1,0,0,0,2
2010-03,12,5,248,6,12,280,0,0,0,0,0,4
2010-04,5,3,764,11,1,140,0,0,0,0,0,2
2010-05,9,9,573,3,2,152,0,0,0,0,0,2
2010-06,20,1,526,2,38,217,0,0,0,0,0,0
2010-07,7,5,295,0,9,345,0,0,0,0,0,1
2010-08,2,10,190,4,4,181,0,0,0,0,0,1
2010-09,12,6,229,2,7,135,0,1,0,0,0,1
2010-10,35,0,182,10,17,88,0,0,0,0,0,1
2010-11,3,0,128,4,1,32,0,0,0,0,0,0
2010-12,7,5,135,6,0,48,0,0,0,0,0,0
2011-01,8,37,233,6,4,155,0,0,0,0,0,1
2011-02,7,4,205,32,5,210,0,0,0,0,0,3
2011-03,13,2,185,2,3,138,0,0,0,0,0,0
2011-04,0,1,121,41,3,128,0,0,0,0,0,1
2011-05,11,1,100,4,1,205,0,0,0,0,0,0
2011-06,3,1,170,9,2,117,0,1,0,0,0,2
2011-07,4,3,138,8,9,98,0,0,0,0,0,3
2011-08,0,2,123,4,1,168,0,0,0,0,0,0
2011-09,6,1,117,1,0,55,0,0,0,0,0,0
2011-10,4,2,111,0,0,30,0,0,0,0,0,0
2011-11,51,12,133,11,3,95,0,0,0,0,0,0
2011-12,2,2,108,1,6,47,0,0,0,0,0,1
2012-01,10,2,113,1,1,69,0,0,0,0,0,0
2012-02,4,13,123,11,1,165,0,0,1,0,0,4
2012-03,6,3,79,9,2,98,0,0,0,0,0,1
2012-04,6,7,88,4,1,72,0,0,0,0,0,0
2012-05,0,3,80,0,1,47,0,0,0,0,0,1
2012-06,3,7,72,3,2,104,0,0,0,0,0,1
2012-07,2,5,82,38,0,222,0,0,0,0,0,3
2012-08,7,1,65,7,2,111,0,0,0,0,0,0
2012-09,2,38,40,14,5,193,0,0,0,0,0,0
2012-10,13,1,76,35,1,410,0,0,0,0,0,1
2012-11,6,0,124,5,1,361,0,0,0,0,0,2
2012-12,1,12,84,3,9,251,0,0,0,0,0,12
2013-01,1,3,70,0,3,67,0,0,0,0,0,5
2013-02,11,29,64,0,6,55,0,0,0,0,0,2
2013-03,4,3,76,0,2,67,0,0,0,0,0,2
2013-04,2,7,131,0,2,101,0,1,0,0,0,0
2013-05,6,3,112,0,1,103,0,1,0,1,0,3
2013-06,3,8,93,0,1,42,0,0,0,0,0,2
2013-07,9,3,174,3,9,275,0,3,0,0,0,6
2013-08,2,4,126,0,8,310,0,0,0,0,0,3
2013-09,4,4,172,0,4,339,0,0,2,0,0,0
2013-10,6,23,168,3,4,592,0,0,0,0,0,10
2013-11,1,2,215,1,1,615,0,2,0,0,0,3
2013-12,14,7,175,1,4,319,0,1,0,0,0,3
2014-01,3,12,117,13,5,205,0,0,0,0,0,3
2014-02,2,7,64,9,4,75,0,0,0,0,0,0
2014-03,12,2,119,36,3,342,0,0,0,0,0,0
2014-04,8,5,79,7,6,177,0,0,0,0,0,2
2014-05,2,10,83,5,3,198,0,0,0,0,0,0
2014-06,4,4,53,9,5,159,0,0,0,0,0,0
2014-07,4,4,54,14,8,244,0,0,1,0,0,1
2014-08,6,28,57,24,4,157,0,4,0,0,0,1
2014-09,1,2,60,3,3,233,0,0,0,0,0,0
2014-10,18,8,33,3,1,230,0,2,1,0,0,0
2014-11,5,5,27,4,0,164,0,0,0,0,0,0
2014-12,2,6,53,11,11,243,0,0,0,0,0,4
2015-01,8,7,32,34,5,190,0,0,0,0,0,0
2015-02,7,8,45,37,7,172,0,0,0,0,0,1
2015-03,2,1,65,44,12,172,0,0,0,0,0,0
2015-04,1,1,57,8,7,202,0,1,0,0,0,0
2015-05,5,6,44,42,5,171,0,0,0,0,0,1
2015-06,1,5,51,8,0,152,0,0,0,0,0,0
2015-07,5,2,55,11,5,151,0,1,0,0,0,0
2015-08,4,5,35,23,81,160,0,1,0,1,0,0
2015-09,7,10,110,23,12,385,0,1,0,0,0,1
2015-10,4,0,39,12,2,440,0,0,0,0,0,4
2015-11,3,1,51,56,10,346,0,0,0,0,0,3
2015-12,9,4,60,12,21,237,0,22,0,0,0,2
2016-01,6,1,36,50,2,274,0,0,0,0,0,0
2016-02,0,4,46,29,4,149,0,1,0,0,0,0
2016-03,0,6,54,54,8,280,0,0,0,0,5,7
2016-04,17,1,37,12,5,135,0,0,0,0,6,8
2016-05,6,0,40,11,4,48,0,0,0,0,2,2
2016-06,1,0,48,35,13,153,0,0,0,0,2,2
2016-07,3,9,55,16,2,196,0,0,0,0,0,8
2016-08,2,1,134,70,8,173,0,0,0,0,3,8
2016-09,0,0,96,28,2,178,0,1,0,0,3,4
2016-10,0,3,83,19,0,165,0,0,0,0,4,3
2016-11,1,3,99,82,15,238,0,1,0,0,1,23
2016-12,2,10,100,99,23,311,0,0,0,0,2,14
2017-01,1,2,90,57,9,322,0,0,0,0,0,13
2017-02,2,0,41,19,4,127,0,1,0,0,0,16
2017-03,9,3,67,56,23,334,0,1,0,0,0,13
2017-04,4,2,23,21,9,118,0,3,0,0,0,1
2017-05,2,5,32,26,4,117,0,0,0,0,0,4
2017-06,4,6,28,41,6,90,0,1,0,0,0,1
2017-07,5,4,26,58,15,190,0,3,0,0,0,3
2017-08,1,0,10,60,16,58,0,1,0,0,0,0
2017-09,3,2,10,27,3,93,7,0,0,0,0,10
2017-10,0,0,24,89,3,91,0,0,0,0,0,6
2017-11,0,3,41,45,7,77,0,0,0,0,0,1
2017-12,1,0,16,16,2,126,0,0,0,0,0,3
2018-01,1,2,13,31,4,43,1,0,0,0,0,1
2018-02,0,2,8,39,3,187,0,0,0,0,0,4
2018-03,3,0,5,71,21,56,0,0,0,0,0,10
2018-04,0,1,30,32,6,41,0,0,0,0,0,9
2018-05,0,23,22,65,10,84,0,0,0,0,1,1
2018-06,0,2,12,7,0,56,0,0,0,0,0,1
2018-07,1,3,8,40,5,133,0,2,0,0,0,1
2018-08,0,1,14,54,13,107,0,1,0,0,0,8
2018-09,0,1,12,75,9,141,1,1,0,0,0,6
2018-10,1,1,8,181,13,63,0,0,0,0,0,3
2018-11,2,0,19,20,11,35,0,0,0,0,0,6
2018-12,11,4,48,45,12,46,1,4,0,0,0,7
2019-01,0,1,18,29,0,24,1,12,0,0,0,5
2019-02,0,0,28,60,10,38,3,2,0,0,1,1
2019-03,2,2,27,26,26,58,0,0,0,0,0,0
2019-04,4,4,29,28,25,60,0,0,0,0,0,0
2019-05,5,2,16,16,5,27,2,0,0,0,0,2
2019-06,0,1,12,18,9,78,3,0,0,0,0,0
2019-07,2,0,22,19,8,56,10,4,0,0,0,1
2019-08,11,3,24,18,13,31,19,1,0,0,0,31
2019-09,12,0,46,27,5,67,5,2,0,0,0,19
2019-10,1,1,23,36,8,94,1,1,0,0,0,20
2019-11,8,0,21,39,11,71,0,0,0,0,0,1
2019-12,1,1,26,15,6,17,0,0,0,0,0,3
2020-01,3,3,84,26,17,100,0,0,257,0,0,7
2020-02,1,1,37,18,5,41,0,0,874,0,0,7
2020-03,0,0,39,14,6,54,0,0,1182,0,0,19
2020-04,3,0,76,5,2,22,0,0,765,0,0,9
2020-05,0,0,160,3,0,86,0,0,437,0,0,13
2020-06,0,3,132,28,10,51,0,1,169,0,0,6
2020-07,1,6,119,74,21,42,4,0,204,0,0,23
2020-08,0,0,157,25,6,49,39,0,217,0,0,2
2020-09,0,0,57,44,1,20,10,0,252,0,0,8
2020-10,0,0,77,8,27,48,6,0,164,0,0,25
2020-11,0,0,83,11,2,62,18,0,94,0,41,19
2020-12,0,0,76,14,2,43,6,0,119,0,6,18
2021-01,7,2,134,13,9,47,5,1,73,0,7,8
2021-02,3,0,56,8,1,16,0,0,60,0,1,3
2021-03,4,4,170,1,2,13,8,0,70,1,0,2
2021-04,3,1,162,10,3,26,12,0,68,0,0,12
2021-05,2,2,127,5,7,19,2,0,186,0,0,4
2021-06,2,0,135,4,13,7,0,0,144,0,8,1
2021-07,0,3,104,3,23,9,1,0,88,0,0,5
2021-08,2,1,70,17,2,47,2,1,121,0,0,6
2021-09,0,9,146,20,3,16,0,0,151,0,0,7
2021-10,0,0,109,6,7,17,5,1,91,0,0,5
2021-11,1,4,126,15,7,8,0,0,39,0,1,2
2021-12,0,2,342,12,9,22,7,0,52,0,0,3
2022-01,3,1,245,10,3,14,4,0,70,0,2,1
2022-02,3,0,129,25,8,23,1,0,52,0,0,0
2022-03,0,3,213,11,3,18,0,2,25,1,0,2
2022-04,1,1,253,6,2,36,9,0,30,0,0,1
2022-05,5,5,404,16,5,51,2,0,28,0,0,1
2022-06,17,2,166,5,1,8,7,0,5,0,1,4
2022-07,0,0,269,2,2,7,2,0,18,0,0,1
2022-08,5,2,323,11,1,23,10,2,17,0,0,2
2022-09,1,1,281,13,2,19,4,0,17,0,0,4
2022-10,3,2,314,5,4,17,0,1,12,0,0,0
2022-11,7,0,276,16,7,43,5,0,12,0,0,3
2022-12,1,0,257,12,52,20,3,0,26,0,0,2
2023-01,0,1,444,5,2,35,8,0,37,1,0,6
2023-02,3,0,419,31,5,15,5,1,5,0,0,2
2023-03,0,0,269,4,5,33,2,0,22,0,0,4
2023-04,1,0,119,3,0,4,1,0,16,0,0,4
2023-05,0,0,12,0,0,0,0,0,1,0,1,0
